1, 1, 高尾 美奈, たかお みな, 高尾 美奈, N, 依存, 癒やし, 自, 防UP, 小, 肉便器予備軍穴ホール, 探索, 4, 最初から, 2014-11-05, 20-1
875, 3065, 【秘密】多根灯 円, ひみつ たねあかり まどか, 多根灯 円, HR, 執着, ツンデレ, 全, 狂乱, 大, 私の本音をアンロック, ガチャ限定, 4, 佐藤くんは失敗を恐れている。, 2018-05-24, 20-885
875, 3065, 【秘密】多根灯 円, ひみつ たねあかり まどか, 多根灯 円, HR, 執着, 逆襲, 全, 狂乱, 大, 私の本音をアンロック, ガチャ限定, 4, 佐藤くんは失敗を恐れている。, 2018-05-24, 20-885
876, 3069, 【秘密】仁科 香澄, ひみつ にしな かすみ, 仁科 香澄, HR, 依存, 乱暴, 自, 狡猾, 大, アプリで伝える偽りなき想い, 特別報酬, 4, 特典コードを入力, 2018-05-24, 20-886
876, 3069, 【秘密】仁科 香澄, ひみつ にしな かすみ, 仁科 香澄, HR, 依存, 腹黒, 自, 狡猾, 大, アプリで伝える偽りなき想い, 特別報酬, 4, 特典コードを入力, 2018-05-24, 20-886
877, 3073, 【日常】裁縫 結, にちじょう さいほう むすび, 裁縫 結, HR, 執着, すきんしっぱー, 自, 狡猾, 中, アプリで伝える偽りなき想い, バトル報酬, 4, 2018年06月バトル報酬, 2018-06-04, 20-887
877, 3073, 【日常】裁縫 結, にちじょう さいほう むすび, 裁縫 結, HR, 執着, 狡猾, 自, 狡猾, 中, アプリで伝える偽りなき想い, バトル報酬, 4, 2018年06月バトル報酬, 2018-06-04, 20-887
878, 3077, 厄と福音のビフォーアフター, やくとふくねのびふぉーあふたー, N/A, R, 無属, ドジ, 全, 献身, 小, 大変化!!神的ビフォーアフター, イベント報酬, 1, さよなら幸せまたきて不幸～その後、神はどうなった～, 2018-06-18, 20-888
878, 3077, 厄と福音のビフォーアフター, やくとふくねのびふぉーあふたー, N/A, R, 無属, 陰湿, 全, 献身, 小, 大変化!!神的ビフォーアフター, イベント報酬, 1, さよなら幸せまたきて不幸～その後、神はどうなった～, 2018-06-18, 20-888
879, 3078, 【浄化】張憑 厄 , じょうか はりつき やく, 張憑 厄, HR, 無属, 逆襲, 自, 狂乱, 大, あなたの隣の疫病神様, ガチャ限定, 4, さよなら幸せまたきて不幸～その後、神はどうなった～, 2018-06-07, 20-889
879, 3078, 【浄化】張憑 厄 , じょうか はりつき やく, 張憑 厄, HR, 無属, 陰湿, 自, 狂乱, 大, あなたの隣の疫病神様, ガチャ限定, 4, さよなら幸せまたきて不幸～その後、神はどうなった～, 2018-06-07, 20-889
880, 3082, 【浄化】潤々 福音, じょうか じゅんじゅん ふくね, 潤々 福音, HR, 無属, ドジ, 敵全, 攻DOWN, 大, 福音ちゃんマジ女神！, ガチャ限定, 4, さよなら幸せまたきて不幸～その後、神はどうなった～, 2018-06-07, 20-890
880, 3082, 【浄化】潤々 福音, じょうか じゅんじゅん ふくね, 潤々 福音, HR, 無属, 癒やし, 敵全, 攻DOWN, 大, 福音ちゃんマジ女神！, ガチャ限定, 4, さよなら幸せまたきて不幸～その後、神はどうなった～, 2018-06-07, 20-890
881, 3086, 【電憑】守石 真子, でんつき もりいし まこ, 守石 真子, HR, 執着, ドジ, 全, 献身, 大, 真子ニーで耳があはん, ガチャ限定, 4, 執着限定3連ガチャ 2nd, 2018-06-18, 20-891
881, 3086, 【電憑】守石 真子, でんつき もりいし まこ, 守石 真子, HR, 執着, 元気, 全, 献身, 大, 真子ニーで耳があはん, ガチャ限定, 4, 執着限定3連ガチャ 2nd, 2018-06-18, 20-891
882, 3090, 【浄化】玄宗 リリ, じょうか くろむね りり, 玄宗 リリ, R, 執着, ぷんぷん, 自, 攻UP, 中, 主様を取り戻すために, イベント, 4, 厄が来りて魔が集る, 2018-06-21, 20-892
883, 3094, 【除霊】九十九 瞳, じょれい つくも ひとみ, 九十九 瞳, R, 狂気, 狡猾, 自, 狂乱, 中, 清濁併せの愛情表現, イベント, 4, 厄が来りて魔が集る, 2018-06-21, 20-893
884, 3098, 教えて！十先生！, おしえて くろすせんせい, 十 十, R, 狂気, 乱暴, 全, 狂乱, 小, エクソシズム(物理)のすゝめ, イベント報酬, 1, 厄が来りて魔が集る, 2018-07-02, 20-894
885, 3099, 【見習い】面平 舞波, みならい めんひら まなみ, 面平 舞波, HR, 狂気, 乱暴, 敵, 防DOWN, 大, 祓って創る二人の未来, イベント, 4, 厄が来りて魔が集る, 2018-06-21, 20-895
886, 3103, 【悪魔】茅音さま, あくま かやねさま, 忌家 茅音, HR, 狂気, 逆襲, 敵全, 監禁, , 官能的サディズム, イベント, 4, 厄が来りて魔が集る, 2018-06-21, 20-896
887, 3107, 十 十, くろす じゅうじ, 十 十, HR, 執着, 乱暴, 自, 狂乱, 大, 殲滅、デッドリー・ジェノサイド, ガチャ限定, 4, 厄が来りて魔が集る, 2018-06-21, 20-897
887, 3107, 十 十, くろす じゅうじ, 十 十, HR, 執着, 活発, 自, 狂乱, 大, 殲滅、デッドリー・ジェノサイド, ガチャ限定, 4, 厄が来りて魔が集る, 2018-06-21, 20-897
888, 3111, 【友愛】香澄ちゃん, ゆうあい かすみちゃん, 仁科 香澄, R, 束縛, ぷんぷん, 自, 防UP, 小, フレンド。友達。こういうのも、いいかも♪, イベント, 4, 嵐の一時編入生, 2018-11-16, 20-898
889, 3115, 【孤独】倉井 惹妬理, こどく くらい ひとり, 倉井 惹妬理, R, 狂気, 甘えん坊, 自, 攻UP, 小, 待っててね！私の大切な王子様ぁ！, イベント, 4, 嵐の一時編入生, 2018-11-16, 20-899
890, 3119, 倉井 惹妬理, くらい ひとり, 倉井 惹妬理, HR, 執着, 狡猾, 全, 攻UP, 大, Nice to meet you♪よろしくね！, ガチャ限定, 4, 嵐の一時編入生, 2018-11-16, 20-900
891, 3123, 新見 身美子, にいみ みみこ, 新見 身美子, HR, 依存, 抑圧ちゃん, 自, 狂乱, 大, 今は教育実習生でも、先生として頑張るわ♪, イベント報酬, 4, 嵐の一時編入生, 2018-11-26, 20-901
892, 3127, 【恋バナ】香澄&惹妬理, こいばな かすみ・ひとり, N/A, R, 束縛, ぷんぷん, 全, 献身, 小, 私、忘れない, イベント報酬, 1, 嵐の一時編入生, 2018-11-26, 20-902
893, 3128, 【深愛】高尾 美奈, しんあい たかおみな, 高尾 美奈, HR, 依存, 淫乱, 全, 防UP, 中, 彼を籠絡するために, 特別報酬, 2, ボイスドラマの購入特典, 2018-11-29, 20-903
893, 3128, 【深愛】高尾 美奈, しんあい たかおみな, 高尾 美奈, HR, 依存, 献身, 全, 防UP, 中, 彼を籠絡するために, 特別報酬, 2, ボイスドラマの購入特典, 2018-11-29, 20-903
894, 3130, 【マジかん】もえ&めい , まじかん もえとめい, N/A, R, 執着, 癒やし, 敵, 攻DOWN, 小, メイド・イン・ヘヴンはNo.１♪, イベント報酬, 1, マジックミラー号, 2018-12-10, 20-904
895, 3131, 【マジかん】しずく, まじかん しずく, しずく, HR, 束縛, 怪奇, 敵, 攻DOWN, 中, 貴方の居場所はわかっています♪, イベント報酬, 4, マジックミラー号, 2018-12-10, 20-905
896, 3135, 【マジかん】みらい, まじかん みらい, みらい, HR, 執着, 甘えん坊, 全, 防UP, 中, 兄ちゃんって馬みたい！！, イベント, 4, マジックミラー号, 2018-11-29, 20-906
897, 3139, 【マジかん】きの, まじかん きの, きの, HR, 狂気, 抑圧ちゃん, 全, 狂乱, 中, あぁぁ、貴方のことを想うとゾクゾクします…！, イベント, 4, マジックミラー号, 2018-11-29, 20-907
898, 3143, 【マジかん】めい, まじかん めい, めい, HR, 依存, ドジ, 全, 防UP, 大, ２４時間ご奉仕させてくだしゃいでしゅ！, ガチャ限定, 4, マジックミラー号, 2018-11-29, 20-908
899, 3147, マカナ, まかな, マカナ, R, 執着, 腹黒, 自, 狂乱, 小, お前、マカナの夫。マカナお前気に入った！, イベント, 4, 常夏のクリスマス merry:survival, 2018-12-13, 20-909
900, 3151, 【南の島】現地民たち, みなみのしま げんちみんたち, N/A, R, 狂気, すきんしっぱー, 自, 攻UP, 小, 発電頑張ル充電頑張ル！！, イベント報酬, 1, 常夏のクリスマス merry:survival, 2018-12-25, 20-910
901, 3152, 【サンタビキニ】氷河 雪女, さんたびきに ひかわ ゆきめ, 氷河 雪女, HR, 依存, 甘えん坊, 全, 狡猾, 中, サバイバル知識はある程度あるつもりよ。頼ってね, ガチャ限定, 4, 常夏のクリスマス merry:survival, 2018-12-13, 20-911
902, 3156, 【サンタビキニ】能天気 海, さんたびきに のうてんき うみ, 能天気 海, HR, 狂気, ドジ, 全, 狂乱, 中, 木の実拾うくらいしかできないけど、頑張る！, イベント報酬, 4, 常夏のクリスマス merry:survival, 2018-12-25, 20-912
903, 3160, 【サンタビキニ】龍浪 杏子, さんたびきに たつなみ あんず, 龍浪 杏子, HR, 束縛, 元気, 敵, 攻DOWN, 大, オレは女でも頼りになる女だぜ！, イベント, 4, 常夏のクリスマス merry:survival, 2018-12-13, 20-913
904, 3164, 【聖夜】儚井 祈, せいや はかない いのり, 儚井 祈, HR, 執着, ドジ, 自, 狂乱, 大, あなたのおそばにいたいのです…, ガチャ限定, 4, クリスマス限定3連ガチャ, 2018-12-22, 20-914
905, 3168, 【元旦巫女】早川 光, がんたんみこ はやかわ ひかり, 早川 光, HR, 狂気, 抑圧ちゃん, 自, 攻UP, 大, 破魔矢でそこを塞いであげる, ガチャ限定, 4, お正月限定3連ガチャ, 2019-01-01, 20-915
906, 3172, ユラ, ゆら, ユラ, R, 狂気, すきんしっぱー, 自, 攻UP, 中, この土地は誰にも渡さない…必ず取り返して見せる, イベント報酬, 4, 病んで拳～屁威脊偉期末伝～, 2019-01-07, 20-916
907, 3176, 【屁威脊偉】カシワギ, へいせい かしわぎ, 柏木 縁, HR, 狂気, 凶暴, 全, 攻UP, 大, 病んで深拳をもって世界を制する！, イベント報酬, 4, 病んで拳～屁威脊偉期末伝～, 2019-01-07, 20-917
908, 3180, 【屁威脊偉】クロス, へいせい くろす, 十 十, HR, 束縛, 逆襲, 自, 攻UP, 大, レジスタンスの魂をもってすれば不可能はない！, イベント, 4, 病んで拳～屁威脊偉期末伝～, 2018-12-27, 20-918
909, 3184, リリア, せいきまつ りりあ, リリア, HR, 依存, 腹黒, 全, 狂乱, 大, 私の理想郷はきっとどこかに……, ガチャ限定, 4, 病んで拳～屁威脊偉期末伝～, 2018-12-27, 20-919
910, 3188, トッキー, せいきまつ とっきー, トッキー, HR, 執着, 怪奇, 敵, 攻DOWN, 大, また君と巡り合える未来のためなら、僕は…, イベント, 4, 病んで拳～屁威脊偉期末伝～, 2018-12-27, 20-920
911, 3192, サダメ・アラガエル, さだめ あらがえる, サダメ・アラガエル, HR, 執着, 清楚, 自, 狡猾, 大, 例え寿命が果てようと、私は愛を信じてる, ガチャ限定, 4, マザーミクダス, 2019-01-17, 20-921
912, 3196, マザーミクダス, まざーみくだす, キング・ミクダス, HR, 狂気, 狡猾, 敵全, 防DOWN, 大, 私がイブ、貴様はアダムとなるのだ！, イベント報酬, 4, マザーミクダス, 2019-01-28, 20-922
913, 3200, ミテハ・フルエル, みては ふるえる, ミテハ・フルエル, HR, 束縛, 陰湿, 自, 攻UP, 大, 一番美しい者だけが残ればいいのよ！！, イベント, 4, マザーミクダス, 2019-01-17, 20-923
914, 3204, カスミルス＆イロハリオン, かすみるす・いろはりおん, N/A, R, 依存, 甘えん坊, 全, 防UP, 小, 『約束された嫁』なら、ここにいるよ♪, イベント報酬, 1, マザーミクダス, 2019-01-28, 20-924
915, 3205, 【チャイナ】高尾 美奈, ちゃいな たかお みな, 高尾 美奈, R, 依存, 癒やし, 自, 防UP, 小, ウリもエッチも麻雀も、もうなんでもござれよ！あはは！, イベント, 4, 病めよ麻雀～闇に蠢く♥♥賭博～, 2019-01-31, 20-925
916, 3209, 萌えチャイナ！, もえちゃいな, N/A, R, 狂気, バカ, 全, 攻UP, 小, コラボもいいけどドラマＣＤもよろしくね！, イベント報酬, 1, 病めよ麻雀～闇に蠢く♥♥賭博～, 2019-02-11, 20-926
917, 3210, 【萌え】月海, もえ つくみ, 月海, HR, 依存, 元気, 敵, 攻DOWN, 大, 『愛なきポン（アイ・ニード・ユー）』♪, イベント報酬, 4, 病めよ麻雀～闇に蠢く♥♥賭博～, 2019-02-11, 20-927
918, 3214, 【伝説の雀士】チェイミー, でんせつのじゃんし ちぇいみー, 一捻 千笑, HR, 執着, 陰湿, 敵全, 防DOWN, 大, ゲスでゴミで変態なあんたになんか負けないから！, ガチャ限定, 4, 病めよ麻雀～闇に蠢く♥♥賭博～, 2019-01-31, 20-928
919, 3218, 【萌え】鵜飼 もも, もえ うかい もも, 鵜飼 もも, HR, 執着, バカ, 自, 攻UP, 中, 『忍法、透過交姦（とうかこうかん）』！, イベント, 4, 病めよ麻雀～闇に蠢く♥♥賭博～, 2019-01-31, 20-929
920, 3222, 【萌え】伊野波 うみ, もえ いのは うみ, 伊野波 うみ, HR, 執着, 活発, 敵, 防DOWN, 中, 大津波（ビッグウェーブ）ツモ！はいたい！, イベント, 4, 病めよ麻雀～闇に蠢く♥♥賭博～, 2019-01-31, 20-930
921, 3226, 【バレンタイン】林堂 京子, ばれんたいん りんどう きょうこ, 林堂 京子, HR, 狂気, 抑圧ちゃん, 敵, 防DOWN, 大, 能ある■■は病を隠す…, ガチャ限定, 4, ValentineDreamGacha：from Kyoko 限定ガチャ, 2019-02-12, 20-931
922, 3230, 【バレンタイン】不動院 雫加, ばれんたいん ふどういん しずか, 不動院 雫加, HR, 依存, バカ, 自, 防UP, 大, 恥じらい隠して、愛…隠せず-, ガチャ限定, 4, ValentineDreamGacha：from Shizuka 限定ガチャ, 2019-02-14, 20-932
923, 3234, 【猫耳】紬にゃん, ねこみみ つむぎにゃん, 逢形 紬, R, 束縛, 甘えん坊, 敵, 攻DOWN, 中, 猫としてあなたのお手元に永久に置いてください, イベント, 4, ネコネコニャンダーランド～2/22の奇跡～, 2019-02-21, 20-933
924, 3238, 【タマ憑依】猫屋敷モモ, たまひょうい ねこやしき もも, 猫屋敷 モモ, R, 執着, 献身, 自, 攻UP, 中, このままずっとモモに憑りつくのもアリだにゃん♪, イベント, 4, ネコネコニャンダーランド～2/22の奇跡～, 2019-02-21, 20-934
925, 3242, 呼ばれなかった二人, よばれなかったふたり, N/A, R, 執着, ぷんぷん, 全, 攻UP, 小, 次は！絶対に！呼ぶのにゃあああ！, イベント報酬, 1, ネコネコニャンダーランド～2/22の奇跡～, 2019-03-04, 20-935
926, 3243, ノア, のあ, ノア, HR, 依存, 甘えん坊, 敵, 攻DOWN, 大, あの日あの時あの選択を…私は…, ガチャ限定, 4, ネコネコニャンダーランド～2/22の奇跡～, 2019-02-21, 20-936
927, 3247, 【猫耳】絞にゃん, ねこみみ しまりにゃん, 吊瀬 絞, HR, 狂気, 元気, 全, 攻UP, 大, 猫耳プレイ？大歓迎だにゃ♪キラッ★, イベント報酬, 4, ネコネコニャンダーランド～2/22の奇跡～, 2019-03-04, 20-937
928, 3251, 【猫耳】天嶺にゃん, ねこみみ あまねにゃん, 辻 天嶺, HR, 依存, 抑圧ちゃん, 敵全, 攻DOWN, 中, 猫耳があんたの趣味だったのかい？にゃん！, イベント, 4, ネコネコニャンダーランド～2/22の奇跡～, 2019-02-21, 20-938
929, 3255, 【雛人形】ひな子, ひなにんぎょう ひなこ, 吊原 ひなこ, R, 狂気, 逆襲, 自, 攻UP, 中, お内裏様とお雛様。あなたと私。お人形みたいに素敵よね？, イベント, 4, 桃の節句は鬼に豆をぶつけることと見つけたり, 2019-03-07, 20-939
930, 3259, 鬼VS付喪神VSエクソシスト, おに・つくもがみ・えくそしすと, N/A, R, 狂気, 怪奇, 全, 防UP, 小, 人外万歳！, イベント報酬, 1, 桃の節句は鬼に豆をぶつけることと見つけたり, 2019-03-18, 20-940
931, 3260, 角隠 鈴歌, つのかくれ すずか, 角隠 鈴歌, HR, 狂気, 凶暴, 敵全, 防DOWN, 大, 化け物じゃない…女の子だもん…, ガチャ限定, 4, 桃の節句は鬼に豆をぶつけることと見つけたり, 2019-03-07, 20-941
932, 3264, 雛型 つくも, ひながた つくも, 雛型 つくも, HR, 執着, 逆襲, 全, 攻UP, 中, ずっとずっとずっとずっと、見てたのじゃ…, イベント, 4, 桃の節句は鬼に豆をぶつけることと見つけたり, 2019-03-07, 20-942
933, 3268, 【鬼娘 】希乃恋, おにむすめ きのれ, 毒神 希乃恋, HR, 束縛, 怪奇, 全, 防UP, 大, 『オニヘンゲダケ』！ふほほ！, イベント報酬, 4, 桃の節句は鬼に豆をぶつけることと見つけたり, 2019-03-18, 20-943
934, 3272, 【母】絵路 結由, はは かいろ ゆい, 絵路 結由(幻々 結由), R, 狂気, 狡猾, 敵, 防DOWN, 中, あなたのために私がいるの…, イベント, 4, MAJIN-３０万人突破記念イベント-, 2019-03-21, 20-944
935, 3276, 主人公, しゅじんこう, 主人公, R, 無属, バカ, 全, 攻UP, 小, ３０万人！ありがとう！, ログイン報酬, 4, MAJIN-３０万人突破記念イベント-, 2019-03-22, 20-945
936, 3280, 後日談, ごじつだん, N/A, R, 無属, 元気, 自, 攻UP, 中, 最強の２人組（タッグ）, イベント報酬, 1, MAJIN-３０万人突破記念イベント-, 2019-04-01, 20-946
937, 3281, 【吸血鬼】葵ちゃん, きゅうけつき あおいちゃん, 斑目 葵, HR, 狂気, 清楚, 全, 攻UP, 大, 血が…血が欲しいの…貴方の血が…！, ガチャ限定, 4, MAJIN-３０万人突破記念イベント-, 2019-03-21, 20-947
938, 3285, 【私服】深策 計, しふく ふかさく けい, 深策 計, HR, 執着, 献身, 敵全, 防DOWN, 中, ボクの気持ちは絵路君だけのもの, イベント, 4, MAJIN-３０万人突破記念イベント-, 2019-03-21, 20-948
939, 3289, 【悪】エロやん, あく えろやん, 絵路 創, HR, 狂気, 乱暴, 全, 狂乱, 大, これGA！本当の！！WATASHIだ！！, イベント報酬, 4, MAJIN-３０万人突破記念イベント-, 2019-04-01, 20-949
940, 3293, 【浴衣】布巻 帆釣, よくい ぬのまき ほつれ, 布巻 帆釣, HR, 狂気, 狡猾, 敵, 防DOWN, 大, にっしっし…浴衣…最高だろう？, ガチャ限定, 4, 30万人突破記念！限定ガチャ, 2019-04-01, 20-950
941, 3297, 【歪】狂衣 燐, ひずみ くるい りん, 狂衣 燐, HR, 狂気, 逆襲, 自, 攻UP, 大, うふふふふふふ………, ガチャ限定, 4, 30万人突破記念！限定ガチャ, 2019-04-01, 20-951
942, 3301, 【出遅れた】小鈴, でおくれた こすず, 家鳴 小鈴, HR, 依存, 甘えん坊, 全, 防UP, 大, みゅう！このチョコは、バレンタインのチョコなの…！, ガチャ限定, 4, 30万人突破記念！限定ガチャ, 2019-04-01, 20-952
943, 3305, 【自傷】高尾 美奈, じしょう たかお みな, 高尾 美奈, HR, 依存, 甘えん坊, 敵全, 攻DOWN, 大, ビッチだなんて呼ばないで, ガチャ限定, 4, 臨床データ、case：高尾 美奈, 2019-04-11, 20-953
944, 3309, 内田 早紀, うちだ さき, 内田 早紀, HR, 依存, 献身, 全, 防UP, 中, 全ては美奈のためだから…, イベント, 4, 臨床データ、case：高尾 美奈, 2019-04-11, 20-954
945, 3313, 上反 飛沫, かみそり しぶき, 上反 飛沫, HR, 狂気, 陰湿, 自, 攻UP, 大, 怒涛のハイテンションリスカ, イベント報酬, 4, 臨床データ、case：高尾 美奈, 2019-04-22, 20-955
946, 3317, 【都会】長部 輪子, とかい おさべ りんこ, 長部 輪子, R, 束縛, すきんしっぱー, 全, 防UP, 中, 暴走する最先端特急！！, イベント, 4, 臨床データ、case：高尾 美奈, 2019-04-11, 20-956
947, 3321, 橋本 千佳, はしもと ちか, 橋本 千佳, R, 執着, 抑圧ちゃん, 敵, 防DOWN, 中, 任せて！あーしは隠れ才女♪, イベント, 4, 臨床データ、case：高尾 美奈, 2019-04-11, 20-957
948, 3325, 流行の最先端は『リストカット』！, りゅうこうのさいせんたんはりすとかっと, N/A, R, 狂気, バカ, 敵, 防DOWN, 小, ヤバいっしょ～ナウいっしょ～！！, イベント報酬, 1, 臨床データ、case：高尾 美奈, 2019-04-22, 20-958
949, 3326, 天障陰 椿, てんしょういん つばき, 天障陰 椿, HR, 無属, 清楚, 全, 狡猾, 大, 天障陰椿、と申します。, ガチャ限定, 4, 天障陰 椿 3連ガチャ, 2019-05-01, 20-959
950, 3330, 真子さんの都市伝説ちゃんねる　feat．病み子さん, まこさんのとしでんせつちゃん ふぇーと やみこさん, N/A, R, 執着, 怪奇, 自, 攻UP, 小, ＶＩＶＡ！マコチャンネル！, イベント報酬, 1, 病み動画専門YamiTuverｘあいぱんコラボ, 2019-05-06, 20-960
951, 3331, 灰森 瞳河, かいもり とうか, 灰森 瞳河, HR, 執着, バカ, 自, 攻UP, 中, やみちゅーばー万歳！, イベント報酬, 4, 病み動画専門YamiTuverｘあいぱんコラボ, 2019-05-06, 20-961
952, 3335, 【あいぱん】風音 このは, かなぜ このは, 風音 このは, HR, 束縛, 陰湿, 全, 防UP, 大, 『あいぱん』で待ってるよ！, ガチャ限定, 4, 病み動画専門YamiTuverｘあいぱんコラボ, 2019-04-25, 20-962
953, 3339, 【あいぱん】真柊 まろ, ましゅう まろ, 真柊 まろ, HR, 依存, 癒やし, 敵, 攻DOWN, 中, 『あいぱん』にいきましょう～！, イベント, 4, 病み動画専門YamiTuverｘあいぱんコラボ, 2019-04-25, 20-963
954, 3343, 【あいぱん】血刃罪 愛夢, ちばずみ あいむ, 血刃罪 愛夢, HR, 依存, 献身, 自, 防UP, 大, 『あいぱん』が一番だもん…, イベント, 4, 病み動画専門YamiTuverｘあいぱんコラボ, 2019-04-25, 20-964
955, 3347, 歩成 溢流, ほなり あふる, 歩成 溢流, HR, 執着, ドジ, 全, 攻UP, 中, ふふふ、先生と遊びましょう♪, ログイン報酬, 4, へべれけさん、イベントランキング1位 10回記念女子, 2019-04-25, 20-965
956, 3351, 手緒 初, てお うい, 手緒 初, R, 狂気, 献身, 全, 攻UP, 小, 裸白神様と教祖様が私の全て, イベント, 4, 白シャツ教 教祖になった僕。, 2019-05-09, 20-966
957, 3355, 【再入信】九十九瞳, さいにゅうしん つくも ひとみ, 九十九 瞳, R, 依存, 献身, 自, 防UP, 中, 私をお救い下さるのはあなただけ, イベント, 4, 白シャツ教 教祖になった僕。, 2019-05-09, 20-967
958, 3359, 聖女と性女？, せいじょとせいじょ, N/A, R, 執着, 献身, 全, 攻UP, 中, Ｗでささげる乙女の祈り, イベント報酬, 1, 白シャツ教 教祖になった僕。, 2019-05-20, 20-968
959, 3360, 刈戸 葉真留, かると はまる, 刈戸 葉真留, HR, 依存, 献身, 自, 防UP, 大, 白シャツが全てを救うのです, イベント, 4, 白シャツ教 教祖になった僕。, 2019-05-09, 20-969
960, 3364, 刈戸 叛, かると そむく, 刈戸 叛, HR, 執着, 抑圧ちゃん, 自, 攻UP, 中, 白シャツ…白シャツ？, イベント報酬, 4, 白シャツ教 教祖になった僕。, 2019-05-20, 20-970
961, 3368, 聖女 マリア, ひじりめ まりあ, 聖女 マリア, HR, 束縛, 献身, 全, 防UP, 大, 私はただの…ただの『人間』です…, ガチャ限定, 4, 白シャツ教 教祖になった僕。, 2019-05-09, 20-971
962, 3372, 後終 藍香, ごしまい あいか, 後終 藍香, R, 執着, ツンデレ, 自, 攻UP, 中, 大事な約束は絶対守るタイプよ, イベント, 4, 五つ子の婚約者, 2019-05-30, 20-972
963, 3376, 後終 翠里, ごしまい みどり, 後終 翠里, R, 依存, 狡猾, 自, 防UP, 中, ずっと…待ってた…だから…, イベント, 4, 五つ子の婚約者, 2019-05-30, 20-973
964, 3380, 五人分の花嫁, ごにんぶんのはなよめ, N/A, R, 執着, 甘えん坊, 全, 防UP, 中, 同じ日に生まれた私達だから, イベント報酬, 1, 五つ子の婚約者, 2019-06-10, 20-974
965, 3381, 後終 桃華, ごしまい ももか, 後終 桃華, HR, 束縛, 甘えん坊, 全, 防UP, 中, 私の胸、好きでしょ～♪？, イベント, 4, 五つ子の婚約者, 2019-05-30, 20-975
966, 3385, 後終 橙子, ごしまい とうこ, 後終 橙子, HR, 執着, 元気, 全, 攻UP, 中, はいはーい！私と結婚するよねー！, イベント報酬, 4, 五つ子の婚約者, 2019-06-10, 20-976
967, 3389, 後終 紅梨, ごしまい あかり, 後終 紅梨, HR, 束縛, 癒やし, 自, 防UP, 大, だって私、お姉ちゃんだから, ガチャ限定, 4, 五つ子の婚約者, 2019-05-30, 20-977
968, 3393, 【ウェディング】忌家 鈴音, うえでぃんぐ いけ すずね, 忌家 鈴音, HR, 無属, 清楚, 全, 攻DOWN, 大, 私の夢が叶った瞬間…, ガチャ限定, 4, アナザーウエディング 限定3連ガチャ, 2019-06-10, 20-978
969, 3397, 【ウェディング】亞沙樹さん, うえでぃんぐ あさきさん, 桐皇 亞沙樹, HR, 狂気, 狡猾, 自, 攻UP, 大, 貴方を奪ってこその花嫁・亞沙樹よ , ガチャ限定, 4, アナザーウエディング 限定3連ガチャ, 2019-06-10, 20-979
970, 3401, 椎長 詩干, ついなが うたほ, 椎長 詩干, R, 執着, 狡猾, 全, 攻UP, 小, 乾物キノコが世界を救うの…, イベント, 4, 強襲！キノコ四天王……！, 2019-06-13, 20-980
971, 3405, 滑川 滑子, なめりかわ なめこ, 滑川 滑子, R, 依存, 変態, 自, 防UP, 中, ナメタケとナメコは違うからね？, イベント, 4, 強襲！キノコ四天王……！, 2019-06-13, 20-981
972, 3409, 戦慄！希乃恋会議！！, せんりつ！きのこかいぎ！！, 毒神 希乃恋, R, 執着, 活発, 自, 攻UP, 中, きのこのこのこ私のこ…ヒヒヒ…, イベント報酬, 1, 強襲！キノコ四天王……！, 2019-06-24, 20-982
973, 3410, 【謀反】毎武 えのき, むほん まいたけ えのき, 毎武 えのき, HR, 束縛, 陰湿, 全, 防UP, 大, キノコ研究会の二番手は返上よ！, イベント, 4, 強襲！キノコ四天王……！, 2019-06-13, 20-983
974, 3414, 科竹 めんま, しなちく めんま, 科竹 めんま, HR, 狂気, 凶暴, 全, 攻UP, 中, タケノコが世界の覇者なのだ！, イベント報酬, 4, 強襲！キノコ四天王……！, 2019-06-24, 20-984
975, 3418, 武南 姫路, ぶなん ひめじ, 武南 姫路, HR, 狂気, 逆襲, 自, 狂乱, 大, 世界は全てがぶなしめじの為に, ガチャ限定, 4, 強襲！キノコ四天王……！, 2019-06-13, 20-985
976, 3422, 比米 小里, ひべい こさと, 比米 小里, R, 執着, バカ, 全, 攻UP, 小, 彼に逢いたいただそれだけなのに… , イベント, 4, 人魚姫の願い事, 2019-06-27, 20-986
977, 3426, 【人魚】不動院 雹加, にんぎょ ふどういん ひょうか, 不動院 雹加, R, 束縛, 腹黒, 全, 防UP, 中, 人魚でも愛してくださいますよね？, イベント, 4, 人魚姫の願い事, 2019-06-27, 20-987
978, 3430, 邂逅！呪いをつけた（？）二人！！, かいごう のろいをつけたふたり, N/A, R, 束縛, 怪奇, 自, 防UP, 中, ぶみゅ！人魚モドキ、おどき！, イベント報酬, 1, 人魚姫の願い事, 2019-07-08, 20-988
979, 3431, 豆井戸 妃, まめいど　きさき, 豆井戸 妃, HR, 狂気, 狡猾, 自, 狂乱, 中, 愛しい者のためになら, イベント, 4, 人魚姫の願い事, 2019-06-27, 20-989
980, 3435, 【人魚】小鈴, にんぎょ こすず, 家鳴 小鈴, HR, 依存, 甘えん坊, 自, 防UP, 大, ふみゅ？人魚？王子様？ふみゅ！？, イベント報酬, 4, 人魚姫の願い事, 2019-07-08, 20-990
